2026-05-22 13:15:43 - INFO --> [LOGF] Failed login with redirect for user id '' (/collectiveaccess-wikidata-ulan/index.php/wikiulan/Import/Index); IP=::1; user agent='Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36' (AUTH)
2026-05-22 13:15:48 - INFO --> [LOGIN] Successful login for 'administrator'; IP=::1; user agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 (Auth)
2026-05-22 13:15:53 - INFO --> [LOGF] Failed login with redirect for user id '' (/collectiveaccess-wikidata-ulan/index.php/wikiulan/Import/Index); IP=::1; user agent='Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36' (AUTH)
2026-05-22 13:16:03 - INFO --> [LOGIN] Successful login for 'administrator'; IP=::1; user agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 (Auth)
2026-05-22 13:16:13 - INFO --> [LOGF] Failed login with redirect for user id '' (/collectiveaccess-wikidata-ulan/index.php/wikiulan/Import/Index); IP=::1; user agent='Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36' (AUTH)
2026-05-22 13:16:38 - INFO --> [LOGIN] Successful login for 'administrator'; IP=::1; user agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 (Auth)
2026-05-22 13:16:39 - INFO --> [LOGIN] Successful login for 'administrator'; IP=::1; user agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 (Auth)
2026-05-22 17:06:06 - INFO --> [LOGF] Failed login with redirect for user id '' (/collectiveaccess-wikidata-ulan/index.php/wikiulan/Import/WikiBirthday); IP=::1; user agent='Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36' (AUTH)
2026-05-22 17:06:11 - INFO --> [LOGIN] Successful login for 'administrator'; IP=::1; user agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 (Auth)
2026-05-22 17:06:56 - INFO --> [LOGF] Failed login with redirect for user id '' (/collectiveaccess-wikidata-ulan/index.php/wikiulan/Import/WikiBirthday); IP=::1; user agent='Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36' (AUTH)
2026-05-22 17:07:02 - INFO --> [LOGIN] Successful login for 'administrator'; IP=::1; user agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 (Auth)
